player_A,player_B,matches,A_wins,B_wins,last_match_date,last5_sequence,A_wins_last5
105807,106432,2,0,2,2018-05-07,0 0,0
104919,105992,1,0,1,2018-01-01,0,0
105074,106329,1,0,1,2018-01-01,0,0
105341,105932,2,0,2,2018-03-19,0 0,0
105657,111513,1,0,1,2018-01-01,0,0
111442,111577,2,0,2,2018-07-30,0 0,0
105649,126094,1,0,1,2018-01-01,0,0
105062,105430,1,1,0,2018-01-01,1,1
104797,106000,1,1,0,2018-01-01,1,1
104269,104534,1,1,0,2018-01-01,1,1
105077,105550,2,0,2,2019-02-04,0 0,0
105916,106044,2,2,0,2018-01-15,1 1,2
105449,200282,4,2,2,2021-08-02,0 0 1 1,2
105882,106325,1,1,0,2018-01-01,1,1
104665,111797,2,1,1,2019-08-19,0 1,1
105643,111581,1,0,1,2018-01-01,0,0
104890,105806,1,0,1,2018-01-01,0,0
104882,104898,1,0,1,2018-01-01,0,0
104999,105441,1,1,0,2018-01-01,1,1
103852,104198,1,1,0,2018-01-01,1,1
106120,106210,1,1,0,2018-01-01,1,1
105238,106043,2,1,1,2018-01-15,1 0,1
105376,105936,2,1,1,2019-09-16,1 0,1
111576,125802,1,0,1,2018-01-01,0,0
104547,124014,1,1,0,2018-01-01,1,1
104678,126610,1,0,1,2018-01-01,0,0
104468,105815,3,2,1,2019-07-01,1 1 0,2
105051,126207,3,2,1,2018-10-08,1 0 1,2
103893,104792,2,0,2,2018-07-02,0 0,0
104607,105526,1,0,1,2018-01-01,0,0
105732,106065,2,2,0,2020-01-06,1 1,2
104180,111202,1,0,1,2018-01-01,0,0
103607,104755,1,0,1,2018-01-01,0,0
106026,111459,1,1,0,2018-01-01,1,1
106378,133430,3,1,2,2018-08-13,1 0 0,1
104252,126774,1,0,1,2018-01-01,0,0
106148,106368,1,0,1,2018-01-01,0,0
104291,105379,1,0,1,2018-01-01,0,0
105166,105357,1,0,1,2018-01-01,0,0
105539,106233,1,0,1,2018-01-01,0,0
104731,106329,1,1,0,2018-01-01,1,1
105932,106432,3,0,3,2019-02-25,0 0 0,0
105870,105992,1,0,1,2018-01-01,0,0
104269,126094,1,0,1,2018-01-01,0,0
105062,111513,3,2,1,2019-05-13,1 1 0,2
104797,111577,2,1,1,2018-05-21,1 0,1
105550,105882,2,1,1,2021-06-21,1 0,1
105332,105916,3,1,2,2018-10-29,1 0 0,1
105683,200282,2,0,2,2024-01-15,0 0,0
103852,105806,1,0,1,2018-01-01,0,0
104898,111797,2,1,1,2018-12-31,1 0,1
104999,111581,1,0,1,2018-01-01,0,0
105376,126610,1,1,0,2018-01-01,1,1
106120,125802,1,1,0,2018-01-01,1,1
104547,105238,1,0,1,2018-01-01,0,0
104792,105526,1,1,0,2018-01-01,1,1
104468,105138,3,1,2,2022-01-31,1 0 0,1
105051,106401,1,0,1,2018-01-01,0,0
104755,126774,4,2,2,2023-06-12,0 1 0 1,2
105732,106026,2,2,0,2018-08-27,1 1,2
106378,111202,1,1,0,2018-01-01,1,1
105379,106233,2,0,2,2018-02-12,0 0,0
105227,106368,1,1,0,2018-01-01,1,1
105357,105777,3,1,2,2022-02-14,0 0 1,1
106432,126094,3,0,3,2020-10-12,0 0 0,0
104731,105062,3,3,0,2018-10-08,1 1 1,3
104797,105992,1,0,1,2018-01-01,0,0
105550,105806,1,1,0,2018-01-01,1,1
104898,105332,1,0,1,2018-01-01,0,0
111581,200282,1,0,1,2018-01-01,0,0
104792,105376,1,1,0,2018-01-01,1,1
104468,106120,1,1,0,2018-01-01,1,1
105238,106401,1,0,1,2018-01-01,0,0
106233,126774,11,5,6,2023-10-23,0 1 0 0 0,1
105227,105732,2,2,0,2018-03-19,1 1,2
105777,106378,2,1,1,2018-01-15,1 0,1
104731,105332,2,2,0,2020-01-06,1 1,2
105550,126094,2,0,2,2021-02-02,0 0,0
105992,200282,1,1,0,2018-01-01,1,1
104792,106233,5,1,4,2020-01-20,1 0 0 0 0,1
104468,105227,2,1,1,2022-05-23,1 0,1
105777,106401,2,1,1,2018-01-15,0 1,1
104792,126094,3,1,2,2023-08-28,1 0 0,1
104468,104731,3,2,1,2019-06-17,1 0 1,2
105992,106401,2,0,2,2018-12-31,0 0,0
105357,200615,4,4,0,2022-07-25,1 1 1 1,4
104297,133430,1,0,1,2018-01-08,0,0
105332,105379,5,2,3,2020-02-10,1 1 0 0 0,2
105216,111575,1,0,1,2018-01-08,0,0
104919,104999,2,2,0,2018-04-23,1 1,2
104655,106121,1,1,0,2018-01-08,1,1
103852,126846,1,1,0,2018-01-08,1,1
105815,111202,2,0,2,2018-01-15,0 0,0
104269,200282,1,0,1,2018-01-08,0,0
105311,105385,1,1,0,2018-01-08,1,1
105526,106000,1,0,1,2018-01-08,0,0
103970,200059,1,1,0,2018-01-08,1,1
105173,105539,1,1,0,2018-01-08,1,1
105030,105138,1,0,1,2018-01-08,0,0
105575,106109,1,1,0,2018-01-08,1,1
105449,132482,1,1,0,2018-01-08,1,1
104678,105238,1,0,1,2018-01-08,0,0
105430,106210,1,0,1,2018-01-08,0,0
104259,106421,1,0,1,2018-01-08,0,0
105041,126774,1,1,0,2018-01-08,1,1
104468,111577,1,0,1,2018-01-08,0,0
104898,134770,2,1,1,2019-07-22,1 0,1
103893,111442,1,1,0,2018-01-08,1,1
105065,105376,1,0,1,2018-01-08,0,0
104180,105357,2,1,1,2018-06-25,1 0,1
105223,133430,2,2,0,2019-06-17,1 1,2
104919,105332,1,0,1,2018-01-08,0,0
104655,111575,2,0,2,2019-09-30,0 0,0
103852,106043,3,1,2,2018-10-29,1 0 0,1
104545,111202,2,1,1,2018-03-19,0 1,1
106000,200282,2,0,2,2018-09-24,0 0,0
103970,105311,1,1,0,2018-01-08,1,1
105173,105575,4,3,1,2021-10-18,1 1 1 0,3
105138,105449,3,3,0,2019-05-27,1 1 1,3
104926,105238,1,1,0,2018-01-08,1,1
105023,106210,1,0,1,2018-01-08,0,0
106421,111577,1,1,0,2018-01-08,1,1
104898,105041,2,2,0,2019-03-18,1 1,2
103893,105077,1,1,0,2018-01-08,1,1
105376,106058,2,2,0,2018-10-08,1 1,2
104180,105332,1,0,1,2018-01-08,0,0
105223,111575,4,3,1,2019-05-27,1 1 1 0,3
103852,200282,4,1,3,2020-10-19,0 1 0 0,1
103970,111202,1,1,0,2018-01-08,1,1
