feature,gain
A_rank,30.122140884399414
B_rank_pts,19.34263038635254
A_rank_pts,18.847108840942383
A_seed,16.543004989624023
win_rate_B,15.321064949035645
B_rank,14.026531219482422
B_seed,13.359342575073242
completed_winrate_A,10.68185043334961
sv_gms_won_pct_A,9.809354782104492
matches_played_B,9.745506286621094
completed_winrate_B,9.653986930847168
matches_played_A,8.307751655578613
B_age,7.746068477630615
rtn_win_pct_B,7.693709850311279
B_h2h,7.397906303405762
strsets_rate_A,7.339588642120361
win_rate_A,7.277050971984863
first_serve_win_pct_A,7.033430576324463
first_serve_win_pct_B,6.697893142700195
days_since_h2h,6.654286861419678
A_ht,6.587682247161865
second_serve_win_pct_B,6.254755020141602
rank_improvement_B,6.2300872802734375
rtn_win_pct_A,6.206386566162109
first_serve_pct_A,6.044264793395996
bp_save_pct_B,5.678811073303223
df_rate_B,5.594412326812744
injured_during_swing_B,5.429900646209717
ace_rate_A,5.312690258026123
strsets_rate_B,5.247611999511719
first_serve_pct_B,5.223233222961426
ace_rate_B,5.1620049476623535
rank_improvement_A,5.157649517059326
sv_gms_won_pct_B,5.133049964904785
A_age,5.063305377960205
bp_save_pct_A,5.056567668914795
B_ht,5.034544467926025
tiebreaks_winrate_A,5.021985054016113
second_serve_win_pct_A,4.6753339767456055
df_rate_A,4.584780693054199
tourney_level_enc,4.555879592895508
best_of,4.400591850280762
hand_B_L,4.197732925415039
A_h2h,3.134190559387207
tiebreaks_winrate_B,3.0331952571868896
