feature,gain
rank_pts_diff,45.90229797363281
rank_diff,15.229381561279297
completed_winrate_A,10.19369888305664
A_rank_pts,9.30407428741455
B_wins_last5,8.747748374938965
B_seed,8.668475151062012
rtn_win_pct_B,8.496766090393066
sv_gms_won_pct_A,8.380118370056152
completed_winrate_B,7.733055591583252
surface_enc,7.726038455963135
B_rank_pts,7.660390853881836
B_win_streak,7.506892681121826
hand_A_L,7.465236186981201
win_rate_B,7.2968549728393555
A_wins_last5,7.286744594573975
A_is_home,7.211879730224609
B_age,7.20821475982666
strsets_rate_A,6.896023273468018
A_tourney_win_rate,6.885340213775635
A_rank,6.840221405029297
A_seed,6.812891006469727
first_serve_pct_B,6.745738983154297
B_is_home,6.703634738922119
A_age,6.570828437805176
rank_improvement_B,6.54429292678833
rank_improvement_A,6.502538204193115
rtn_win_pct_A,6.452610015869141
A_win_streak_surface,6.410313129425049
A_ht,6.329294204711914
injured_during_swing_A,6.282164573669434
matches_played_B,6.268584251403809
B_tourney_matches,6.185257434844971
df_rate_A,6.179991722106934
B_ht,6.167900562286377
second_serve_win_pct_A,6.159894943237305
B_rank,6.149247169494629
strsets_rate_B,6.099215030670166
sv_gms_won_pct_B,6.099033355712891
tiebreaks_winrate_A,6.071703910827637
matches_played_A,6.029455661773682
first_serve_pct_A,6.003564357757568
df_rate_B,5.940296649932861
first_serve_win_pct_A,5.931290626525879
tiebreaks_winrate_B,5.905470848083496
first_serve_win_pct_B,5.899284362792969
ace_rate_A,5.896918296813965
B_tourney_win_rate,5.771549701690674
round_ord,5.762127876281738
bp_save_pct_A,5.703014850616455
bp_save_pct_B,5.687136650085449
best_of,5.678114891052246
B_win_streak_surface,5.6129302978515625
win_rate_A,5.594760417938232
A_win_streak,5.554826259613037
ace_rate_B,5.517887592315674
days_since_h2h,5.462435722351074
injured_during_swing_B,5.423742294311523
A_tourney_matches,5.406510353088379
second_serve_win_pct_B,5.40009880065918
hand_B_L,5.132962703704834
B_tourney_titles,5.125705718994141
B_h2h,5.015744209289551
A_h2h,4.861602783203125
tourney_level_enc,4.487163066864014
A_tourney_titles,4.427095413208008
