max_depth,min_child_weight,decay_rate,val_logloss,best_iter
3,3,0.5,0.6220876651473376,116
4,5,0.9,0.6224931920245612,69
5,5,0.9,0.6227469091227045,70
3,5,0.5,0.622754894822707,70
4,1,0.9,0.6230872133464525,71
3,5,0.7,0.6233828514620855,81
4,5,1.0,0.6233880836919788,56
4,3,0.9,0.6234280785118347,69
4,1,1.0,0.6235773770840137,71
3,1,0.5,0.6235808925195174,71
5,3,0.9,0.6236213460048555,71
3,5,1.0,0.6236978781623241,89
5,5,1.0,0.6237372851345963,56
4,3,1.0,0.623780143783464,69
3,5,0.9,0.6239011208474378,78
3,3,0.9,0.6239436666493292,74
3,1,0.7,0.6239890336474299,81
4,5,0.5,0.6240097632397821,51
3,3,0.7,0.6240743819124255,96
4,3,0.5,0.6241659440003432,73
3,1,0.9,0.6241832109821307,83
3,1,1.0,0.6243433570577985,102
3,3,1.0,0.6244849477947017,73
5,1,0.9,0.6248271089676138,62
5,1,0.5,0.6249154249052981,51
4,1,0.5,0.6251815118766451,73
5,3,1.0,0.6255683067621607,51
5,3,0.7,0.6256667189525835,57
5,5,0.5,0.6257542599460263,51
4,1,0.7,0.6257794290393978,81
4,3,0.7,0.6258582098530484,51
4,5,0.7,0.6259411279579777,83
5,1,1.0,0.6260444647951043,54
5,5,0.7,0.6261482261605077,59
5,1,0.7,0.6263570650960459,53
5,3,0.5,0.6270924584561096,51
